Dataset,method,Iteration,Random_train_col,Column,1th Iteration RMSE,2th Iteration RMSE,3th Iteration RMSE,4th Iteration RMSE,5th Iteration RMSE,6th Iteration RMSE,7th Iteration RMSE,8th Iteration RMSE,9th Iteration RMSE,10th Iteration RMSE,11th Iteration RMSE,12th Iteration RMSE,13th Iteration RMSE,14th Iteration RMSE,15th Iteration RMSE,16th Iteration RMSE,17th Iteration RMSE,18th Iteration RMSE,19th Iteration RMSE,20th Iteration RMSE,21th Iteration RMSE,22th Iteration RMSE,23th Iteration RMSE,24th Iteration RMSE,25th Iteration RMSE,26th Iteration RMSE,27th Iteration RMSE,28th Iteration RMSE,29th Iteration RMSE,30th Iteration RMSE
7_post,chain02_datawig,1,"['SURF-STBL', 'L-SURF', 'CORE-STBL', 'L-O2', 'L-CORE', 'L-BP', 'COMFORT', 'BP-STBL']",SURF-STBL,0.48007957148258196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7_post,chain02_datawig,1,"['SURF-STBL', 'L-SURF', 'CORE-STBL', 'L-O2', 'L-CORE', 'L-BP', 'COMFORT', 'BP-STBL']",L-SURF,0.20356745296675982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7_post,chain02_datawig,1,"['SURF-STBL', 'L-SURF', 'CORE-STBL', 'L-O2', 'L-CORE', 'L-BP', 'COMFORT', 'BP-STBL']",CORE-STBL,0.44814466620208776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7_post,chain02_datawig,1,"['SURF-STBL', 'L-SURF', 'CORE-STBL', 'L-O2', 'L-CORE', 'L-BP', 'COMFORT', 'BP-STBL']",L-O2,0.09238012498735627,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7_post,chain02_datawig,1,"['SURF-STBL', 'L-SURF', 'CORE-STBL', 'L-O2', 'L-CORE', 'L-BP', 'COMFORT', 'BP-STBL']",L-CORE,0.28410548561418625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7_post,chain02_datawig,1,"['SURF-STBL', 'L-SURF', 'CORE-STBL', 'L-O2', 'L-CORE', 'L-BP', 'COMFORT', 'BP-STBL']",L-BP,0.7944765043638494,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7_post,chain02_datawig,1,"['SURF-STBL', 'L-SURF', 'CORE-STBL', 'L-O2', 'L-CORE', 'L-BP', 'COMFORT', 'BP-STBL']",COMFORT,0.225351094553818,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7_post,chain02_datawig,1,"['SURF-STBL', 'L-SURF', 'CORE-STBL', 'L-O2', 'L-CORE', 'L-BP', 'COMFORT', 'BP-STBL']",BP-STBL,0.27410118504722925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7_post,chain02_datawig,2,"['SURF-STBL', 'L-SURF', 'CORE-STBL', 'L-O2', 'L-CORE', 'L-BP', 'COMFORT', 'BP-STBL']",SURF-STBL,,0.24375408089369469,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7_post,chain02_datawig,2,"['SURF-STBL', 'L-SURF', 'CORE-STBL', 'L-O2', 'L-CORE', 'L-BP', 'COMFORT', 'BP-STBL']",L-SURF,,0.20448435281053293,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7_post,chain02_datawig,2,"['SURF-STBL', 'L-SURF', 'CORE-STBL', 'L-O2', 'L-CORE', 'L-BP', 'COMFORT', 'BP-STBL']",CORE-STBL,,0.03132699235845654,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7_post,chain02_datawig,2,"['SURF-STBL', 'L-SURF', 'CORE-STBL', 'L-O2', 'L-CORE', 'L-BP', 'COMFORT', 'BP-STBL']",L-O2,,0.5970545966019397,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7_post,chain02_datawig,2,"['SURF-STBL', 'L-SURF', 'CORE-STBL', 'L-O2', 'L-CORE', 'L-BP', 'COMFORT', 'BP-STBL']",L-CORE,,0.30001577269230495,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7_post,chain02_datawig,2,"['SURF-STBL', 'L-SURF', 'CORE-STBL', 'L-O2', 'L-CORE', 'L-BP', 'COMFORT', 'BP-STBL']",L-BP,,0.6210109469344116,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7_post,chain02_datawig,2,"['SURF-STBL', 'L-SURF', 'CORE-STBL', 'L-O2', 'L-CORE', 'L-BP', 'COMFORT', 'BP-STBL']",COMFORT,,0.26020594590645596,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7_post,chain02_datawig,2,"['SURF-STBL', 'L-SURF', 'CORE-STBL', 'L-O2', 'L-CORE', 'L-BP', 'COMFORT', 'BP-STBL']",BP-STBL,,0.5203537381714947,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7_post,chain02_datawig,3,"['SURF-STBL', 'L-SURF', 'CORE-STBL', 'L-O2', 'L-CORE', 'L-BP', 'COMFORT', 'BP-STBL']",SURF-STBL,,,0.4395798215554492,,,,,,,,,,,,,,,,,,,,,,,,,,,
7_post,chain02_datawig,3,"['SURF-STBL', 'L-SURF', 'CORE-STBL', 'L-O2', 'L-CORE', 'L-BP', 'COMFORT', 'BP-STBL']",L-SURF,,,0.2495228715093003,,,,,,,,,,,,,,,,,,,,,,,,,,,
7_post,chain02_datawig,3,"['SURF-STBL', 'L-SURF', 'CORE-STBL', 'L-O2', 'L-CORE', 'L-BP', 'COMFORT', 'BP-STBL']",CORE-STBL,,,0.1825664983674026,,,,,,,,,,,,,,,,,,,,,,,,,,,
7_post,chain02_datawig,3,"['SURF-STBL', 'L-SURF', 'CORE-STBL', 'L-O2', 'L-CORE', 'L-BP', 'COMFORT', 'BP-STBL']",L-O2,,,0.37059997774413134,,,,,,,,,,,,,,,,,,,,,,,,,,,
7_post,chain02_datawig,3,"['SURF-STBL', 'L-SURF', 'CORE-STBL', 'L-O2', 'L-CORE', 'L-BP', 'COMFORT', 'BP-STBL']",L-CORE,,,0.37959091812334494,,,,,,,,,,,,,,,,,,,,,,,,,,,
7_post,chain02_datawig,3,"['SURF-STBL', 'L-SURF', 'CORE-STBL', 'L-O2', 'L-CORE', 'L-BP', 'COMFORT', 'BP-STBL']",L-BP,,,0.3174127107540421,,,,,,,,,,,,,,,,,,,,,,,,,,,
7_post,chain02_datawig,3,"['SURF-STBL', 'L-SURF', 'CORE-STBL', 'L-O2', 'L-CORE', 'L-BP', 'COMFORT', 'BP-STBL']",COMFORT,,,0.5649547404084908,,,,,,,,,,,,,,,,,,,,,,,,,,,
7_post,chain02_datawig,3,"['SURF-STBL', 'L-SURF', 'CORE-STBL', 'L-O2', 'L-CORE', 'L-BP', 'COMFORT', 'BP-STBL']",BP-STBL,,,0.4375575974690912,,,,,,,,,,,,,,,,,,,,,,,,,,,
7_post,chain02_datawig,4,"['SURF-STBL', 'L-SURF', 'CORE-STBL', 'L-O2', 'L-CORE', 'L-BP', 'COMFORT', 'BP-STBL']",SURF-STBL,,,,0.5777439565293749,,,,,,,,,,,,,,,,,,,,,,,,,,
7_post,chain02_datawig,4,"['SURF-STBL', 'L-SURF', 'CORE-STBL', 'L-O2', 'L-CORE', 'L-BP', 'COMFORT', 'BP-STBL']",L-SURF,,,,0.2603552053464467,,,,,,,,,,,,,,,,,,,,,,,,,,
7_post,chain02_datawig,4,"['SURF-STBL', 'L-SURF', 'CORE-STBL', 'L-O2', 'L-CORE', 'L-BP', 'COMFORT', 'BP-STBL']",CORE-STBL,,,,0.0734036282909935,,,,,,,,,,,,,,,,,,,,,,,,,,
7_post,chain02_datawig,4,"['SURF-STBL', 'L-SURF', 'CORE-STBL', 'L-O2', 'L-CORE', 'L-BP', 'COMFORT', 'BP-STBL']",L-O2,,,,0.772543068044653,,,,,,,,,,,,,,,,,,,,,,,,,,
7_post,chain02_datawig,4,"['SURF-STBL', 'L-SURF', 'CORE-STBL', 'L-O2', 'L-CORE', 'L-BP', 'COMFORT', 'BP-STBL']",L-CORE,,,,0.5718917219631866,,,,,,,,,,,,,,,,,,,,,,,,,,
7_post,chain02_datawig,4,"['SURF-STBL', 'L-SURF', 'CORE-STBL', 'L-O2', 'L-CORE', 'L-BP', 'COMFORT', 'BP-STBL']",L-BP,,,,0.9578232410836381,,,,,,,,,,,,,,,,,,,,,,,,,,
7_post,chain02_datawig,4,"['SURF-STBL', 'L-SURF', 'CORE-STBL', 'L-O2', 'L-CORE', 'L-BP', 'COMFORT', 'BP-STBL']",COMFORT,,,,0.7692759716828982,,,,,,,,,,,,,,,,,,,,,,,,,,
7_post,chain02_datawig,4,"['SURF-STBL', 'L-SURF', 'CORE-STBL', 'L-O2', 'L-CORE', 'L-BP', 'COMFORT', 'BP-STBL']",BP-STBL,,,,0.36945908981142145,,,,,,,,,,,,,,,,,,,,,,,,,,
7_post,chain02_datawig,5,"['SURF-STBL', 'L-SURF', 'CORE-STBL', 'L-O2', 'L-CORE', 'L-BP', 'COMFORT', 'BP-STBL']",SURF-STBL,,,,,0.5781308149321018,,,,,,,,,,,,,,,,,,,,,,,,,
7_post,chain02_datawig,5,"['SURF-STBL', 'L-SURF', 'CORE-STBL', 'L-O2', 'L-CORE', 'L-BP', 'COMFORT', 'BP-STBL']",L-SURF,,,,,0.17929640239500472,,,,,,,,,,,,,,,,,,,,,,,,,
7_post,chain02_datawig,5,"['SURF-STBL', 'L-SURF', 'CORE-STBL', 'L-O2', 'L-CORE', 'L-BP', 'COMFORT', 'BP-STBL']",CORE-STBL,,,,,0.116398701480011,,,,,,,,,,,,,,,,,,,,,,,,,
7_post,chain02_datawig,5,"['SURF-STBL', 'L-SURF', 'CORE-STBL', 'L-O2', 'L-CORE', 'L-BP', 'COMFORT', 'BP-STBL']",L-O2,,,,,0.4323421930073198,,,,,,,,,,,,,,,,,,,,,,,,,
7_post,chain02_datawig,5,"['SURF-STBL', 'L-SURF', 'CORE-STBL', 'L-O2', 'L-CORE', 'L-BP', 'COMFORT', 'BP-STBL']",L-CORE,,,,,0.40879123924614336,,,,,,,,,,,,,,,,,,,,,,,,,
