Dataset,method,Iteration,Entropy for each column,Sorted columns based on entropy,Column,1th Iteration RMSE,2th Iteration RMSE,3th Iteration RMSE,4th Iteration RMSE,5th Iteration RMSE,6th Iteration RMSE,7th Iteration RMSE,8th Iteration RMSE,9th Iteration RMSE,10th Iteration RMSE,11th Iteration RMSE,12th Iteration RMSE,13th Iteration RMSE,14th Iteration RMSE,15th Iteration RMSE,16th Iteration RMSE,17th Iteration RMSE,18th Iteration RMSE,19th Iteration RMSE,20th Iteration RMSE,21th Iteration RMSE,22th Iteration RMSE,23th Iteration RMSE,24th Iteration RMSE,25th Iteration RMSE,26th Iteration RMSE,27th Iteration RMSE,28th Iteration RMSE,29th Iteration RMSE,30th Iteration RMSE
1_breast,chain03_datawig,2,"{'irradiat': 0.9621461334087001, 'breast': 0.9767760065324899, 'menopause': 1.0491285906157648, 'node-caps': 1.0676553829615263, 'deg-malig': 1.4972088294090173, 'inv-nodes': 1.5958445662504868, 'breast-quad': 2.084821395901945, 'age': 2.2619461485438426, 'tumor-size': 2.2810242047847193}","irradiat, breast, menopause, node-caps, deg-malig, inv-nodes, breast-quad, age, tumor-size",menopause,,0.42265000821318144,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1_breast,chain03_datawig,2,"{'irradiat': 0.9621461334087001, 'breast': 0.9767760065324899, 'menopause': 1.0491285906157648, 'node-caps': 1.0676553829615263, 'deg-malig': 1.4972088294090173, 'inv-nodes': 1.5958445662504868, 'breast-quad': 2.084821395901945, 'age': 2.2619461485438426, 'tumor-size': 2.2810242047847193}","irradiat, breast, menopause, node-caps, deg-malig, inv-nodes, breast-quad, age, tumor-size",node-caps,,0.2600217837054776,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1_breast,chain03_datawig,2,"{'irradiat': 0.9621461334087001, 'breast': 0.9767760065324899, 'menopause': 1.0491285906157648, 'node-caps': 1.0676553829615263, 'deg-malig': 1.4972088294090173, 'inv-nodes': 1.5958445662504868, 'breast-quad': 2.084821395901945, 'age': 2.2619461485438426, 'tumor-size': 2.2810242047847193}","irradiat, breast, menopause, node-caps, deg-malig, inv-nodes, breast-quad, age, tumor-size",deg-malig,,0.34930285112680937,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1_breast,chain03_datawig,2,"{'irradiat': 0.9621461334087001, 'breast': 0.9767760065324899, 'menopause': 1.0491285906157648, 'node-caps': 1.0676553829615263, 'deg-malig': 1.4972088294090173, 'inv-nodes': 1.5958445662504868, 'breast-quad': 2.084821395901945, 'age': 2.2619461485438426, 'tumor-size': 2.2810242047847193}","irradiat, breast, menopause, node-caps, deg-malig, inv-nodes, breast-quad, age, tumor-size",inv-nodes,,0.31521979229953034,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1_breast,chain03_datawig,2,"{'irradiat': 0.9621461334087001, 'breast': 0.9767760065324899, 'menopause': 1.0491285906157648, 'node-caps': 1.0676553829615263, 'deg-malig': 1.4972088294090173, 'inv-nodes': 1.5958445662504868, 'breast-quad': 2.084821395901945, 'age': 2.2619461485438426, 'tumor-size': 2.2810242047847193}","irradiat, breast, menopause, node-caps, deg-malig, inv-nodes, breast-quad, age, tumor-size",breast-quad,,0.11445111088011775,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1_breast,chain03_datawig,2,"{'irradiat': 0.9621461334087001, 'breast': 0.9767760065324899, 'menopause': 1.0491285906157648, 'node-caps': 1.0676553829615263, 'deg-malig': 1.4972088294090173, 'inv-nodes': 1.5958445662504868, 'breast-quad': 2.084821395901945, 'age': 2.2619461485438426, 'tumor-size': 2.2810242047847193}","irradiat, breast, menopause, node-caps, deg-malig, inv-nodes, breast-quad, age, tumor-size",age,,0.18839541012871602,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1_breast,chain03_datawig,2,"{'irradiat': 0.9621461334087001, 'breast': 0.9767760065324899, 'menopause': 1.0491285906157648, 'node-caps': 1.0676553829615263, 'deg-malig': 1.4972088294090173, 'inv-nodes': 1.5958445662504868, 'breast-quad': 2.084821395901945, 'age': 2.2619461485438426, 'tumor-size': 2.2810242047847193}","irradiat, breast, menopause, node-caps, deg-malig, inv-nodes, breast-quad, age, tumor-size",tumor-size,,0.23924974639153826,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1_breast,chain03_datawig,3,"{'irradiat': 0.9621461334087001, 'breast': 0.9767760065324899, 'menopause': 1.0491285906157648, 'node-caps': 1.0676553829615263, 'deg-malig': 1.4972088294090173, 'inv-nodes': 1.5958445662504868, 'breast-quad': 2.084821395901945, 'age': 2.2619461485438426, 'tumor-size': 2.2810242047847193}","irradiat, breast, menopause, node-caps, deg-malig, inv-nodes, breast-quad, age, tumor-size",irradiat,,,0.48598391152742265,,,,,,,,,,,,,,,,,,,,,,,,,,,
1_breast,chain03_datawig,3,"{'irradiat': 0.9621461334087001, 'breast': 0.9767760065324899, 'menopause': 1.0491285906157648, 'node-caps': 1.0676553829615263, 'deg-malig': 1.4972088294090173, 'inv-nodes': 1.5958445662504868, 'breast-quad': 2.084821395901945, 'age': 2.2619461485438426, 'tumor-size': 2.2810242047847193}","irradiat, breast, menopause, node-caps, deg-malig, inv-nodes, breast-quad, age, tumor-size",breast,,,0.48312350456804576,,,,,,,,,,,,,,,,,,,,,,,,,,,
1_breast,chain03_datawig,3,"{'irradiat': 0.9621461334087001, 'breast': 0.9767760065324899, 'menopause': 1.0491285906157648, 'node-caps': 1.0676553829615263, 'deg-malig': 1.4972088294090173, 'inv-nodes': 1.5958445662504868, 'breast-quad': 2.084821395901945, 'age': 2.2619461485438426, 'tumor-size': 2.2810242047847193}","irradiat, breast, menopause, node-caps, deg-malig, inv-nodes, breast-quad, age, tumor-size",menopause,,,0.45643055232843455,,,,,,,,,,,,,,,,,,,,,,,,,,,
1_breast,chain03_datawig,3,"{'irradiat': 0.9621461334087001, 'breast': 0.9767760065324899, 'menopause': 1.0491285906157648, 'node-caps': 1.0676553829615263, 'deg-malig': 1.4972088294090173, 'inv-nodes': 1.5958445662504868, 'breast-quad': 2.084821395901945, 'age': 2.2619461485438426, 'tumor-size': 2.2810242047847193}","irradiat, breast, menopause, node-caps, deg-malig, inv-nodes, breast-quad, age, tumor-size",node-caps,,,0.17903537868957298,,,,,,,,,,,,,,,,,,,,,,,,,,,
1_breast,chain03_datawig,3,"{'irradiat': 0.9621461334087001, 'breast': 0.9767760065324899, 'menopause': 1.0491285906157648, 'node-caps': 1.0676553829615263, 'deg-malig': 1.4972088294090173, 'inv-nodes': 1.5958445662504868, 'breast-quad': 2.084821395901945, 'age': 2.2619461485438426, 'tumor-size': 2.2810242047847193}","irradiat, breast, menopause, node-caps, deg-malig, inv-nodes, breast-quad, age, tumor-size",deg-malig,,,0.37842044101339894,,,,,,,,,,,,,,,,,,,,,,,,,,,
1_breast,chain03_datawig,3,"{'irradiat': 0.9621461334087001, 'breast': 0.9767760065324899, 'menopause': 1.0491285906157648, 'node-caps': 1.0676553829615263, 'deg-malig': 1.4972088294090173, 'inv-nodes': 1.5958445662504868, 'breast-quad': 2.084821395901945, 'age': 2.2619461485438426, 'tumor-size': 2.2810242047847193}","irradiat, breast, menopause, node-caps, deg-malig, inv-nodes, breast-quad, age, tumor-size",inv-nodes,,,0.39874051810190325,,,,,,,,,,,,,,,,,,,,,,,,,,,
1_breast,chain03_datawig,3,"{'irradiat': 0.9621461334087001, 'breast': 0.9767760065324899, 'menopause': 1.0491285906157648, 'node-caps': 1.0676553829615263, 'deg-malig': 1.4972088294090173, 'inv-nodes': 1.5958445662504868, 'breast-quad': 2.084821395901945, 'age': 2.2619461485438426, 'tumor-size': 2.2810242047847193}","irradiat, breast, menopause, node-caps, deg-malig, inv-nodes, breast-quad, age, tumor-size",breast-quad,,,0.23925069365680454,,,,,,,,,,,,,,,,,,,,,,,,,,,
1_breast,chain03_datawig,3,"{'irradiat': 0.9621461334087001, 'breast': 0.9767760065324899, 'menopause': 1.0491285906157648, 'node-caps': 1.0676553829615263, 'deg-malig': 1.4972088294090173, 'inv-nodes': 1.5958445662504868, 'breast-quad': 2.084821395901945, 'age': 2.2619461485438426, 'tumor-size': 2.2810242047847193}","irradiat, breast, menopause, node-caps, deg-malig, inv-nodes, breast-quad, age, tumor-size",age,,,0.24369311239631938,,,,,,,,,,,,,,,,,,,,,,,,,,,
1_breast,chain03_datawig,3,"{'irradiat': 0.9621461334087001, 'breast': 0.9767760065324899, 'menopause': 1.0491285906157648, 'node-caps': 1.0676553829615263, 'deg-malig': 1.4972088294090173, 'inv-nodes': 1.5958445662504868, 'breast-quad': 2.084821395901945, 'age': 2.2619461485438426, 'tumor-size': 2.2810242047847193}","irradiat, breast, menopause, node-caps, deg-malig, inv-nodes, breast-quad, age, tumor-size",tumor-size,,,0.22106899859756163,,,,,,,,,,,,,,,,,,,,,,,,,,,
1_breast,chain03_datawig,4,"{'irradiat': 0.9621461334087001, 'breast': 0.9767760065324899, 'menopause': 1.0491285906157648, 'node-caps': 1.0676553829615263, 'deg-malig': 1.4972088294090173, 'inv-nodes': 1.5958445662504868, 'breast-quad': 2.084821395901945, 'age': 2.2619461485438426, 'tumor-size': 2.2810242047847193}","irradiat, breast, menopause, node-caps, deg-malig, inv-nodes, breast-quad, age, tumor-size",irradiat,,,,0.3416956017411631,,,,,,,,,,,,,,,,,,,,,,,,,,
1_breast,chain03_datawig,4,"{'irradiat': 0.9621461334087001, 'breast': 0.9767760065324899, 'menopause': 1.0491285906157648, 'node-caps': 1.0676553829615263, 'deg-malig': 1.4972088294090173, 'inv-nodes': 1.5958445662504868, 'breast-quad': 2.084821395901945, 'age': 2.2619461485438426, 'tumor-size': 2.2810242047847193}","irradiat, breast, menopause, node-caps, deg-malig, inv-nodes, breast-quad, age, tumor-size",breast,,,,0.4386130131931426,,,,,,,,,,,,,,,,,,,,,,,,,,
1_breast,chain03_datawig,4,"{'irradiat': 0.9621461334087001, 'breast': 0.9767760065324899, 'menopause': 1.0491285906157648, 'node-caps': 1.0676553829615263, 'deg-malig': 1.4972088294090173, 'inv-nodes': 1.5958445662504868, 'breast-quad': 2.084821395901945, 'age': 2.2619461485438426, 'tumor-size': 2.2810242047847193}","irradiat, breast, menopause, node-caps, deg-malig, inv-nodes, breast-quad, age, tumor-size",menopause,,,,0.4576434694307452,,,,,,,,,,,,,,,,,,,,,,,,,,
1_breast,chain03_datawig,4,"{'irradiat': 0.9621461334087001, 'breast': 0.9767760065324899, 'menopause': 1.0491285906157648, 'node-caps': 1.0676553829615263, 'deg-malig': 1.4972088294090173, 'inv-nodes': 1.5958445662504868, 'breast-quad': 2.084821395901945, 'age': 2.2619461485438426, 'tumor-size': 2.2810242047847193}","irradiat, breast, menopause, node-caps, deg-malig, inv-nodes, breast-quad, age, tumor-size",node-caps,,,,0.2337109235931708,,,,,,,,,,,,,,,,,,,,,,,,,,
